code,exchange,source,as_of
515850,SSE,sse_etf_fundlist,2026-02-10
515860,SSE,sse_etf_fundlist,2026-02-10
515880,SSE,sse_etf_fundlist,2026-02-10
515890,SSE,sse_etf_fundlist,2026-02-10
515900,SSE,sse_etf_fundlist,2026-02-10
515910,SSE,sse_etf_fundlist,2026-02-10
515920,SSE,sse_etf_fundlist,2026-02-10
515950,SSE,sse_etf_fundlist,2026-02-10
515960,SSE,sse_etf_fundlist,2026-02-10
515980,SSE,sse_etf_fundlist,2026-02-10
515990,SSE,sse_etf_fundlist,2026-02-10
516000,SSE,sse_etf_fundlist,2026-02-10
516010,SSE,sse_etf_fundlist,2026-02-10
516020,SSE,sse_etf_fundlist,2026-02-10
516050,SSE,sse_etf_fundlist,2026-02-10
516060,SSE,sse_etf_fundlist,2026-02-10
516070,SSE,sse_etf_fundlist,2026-02-10
516080,SSE,sse_etf_fundlist,2026-02-10
516090,SSE,sse_etf_fundlist,2026-02-10
516100,SSE,sse_etf_fundlist,2026-02-10
516110,SSE,sse_etf_fundlist,2026-02-10
516120,SSE,sse_etf_fundlist,2026-02-10
516130,SSE,sse_etf_fundlist,2026-02-10
516150,SSE,sse_etf_fundlist,2026-02-10
516160,SSE,sse_etf_fundlist,2026-02-10
516180,SSE,sse_etf_fundlist,2026-02-10
516190,SSE,sse_etf_fundlist,2026-02-10
516200,SSE,sse_etf_fundlist,2026-02-10
516210,SSE,sse_etf_fundlist,2026-02-10
516220,SSE,sse_etf_fundlist,2026-02-10
516230,SSE,sse_etf_fundlist,2026-02-10
516250,SSE,sse_etf_fundlist,2026-02-10
516260,SSE,sse_etf_fundlist,2026-02-10
516270,SSE,sse_etf_fundlist,2026-02-10
516290,SSE,sse_etf_fundlist,2026-02-10
516300,SSE,sse_etf_fundlist,2026-02-10
516310,SSE,sse_etf_fundlist,2026-02-10
516320,SSE,sse_etf_fundlist,2026-02-10
516330,SSE,sse_etf_fundlist,2026-02-10
516350,SSE,sse_etf_fundlist,2026-02-10
516360,SSE,sse_etf_fundlist,2026-02-10
516380,SSE,sse_etf_fundlist,2026-02-10
516390,SSE,sse_etf_fundlist,2026-02-10
516460,SSE,sse_etf_fundlist,2026-02-10
516500,SSE,sse_etf_fundlist,2026-02-10
516510,SSE,sse_etf_fundlist,2026-02-10
516520,SSE,sse_etf_fundlist,2026-02-10
516530,SSE,sse_etf_fundlist,2026-02-10
516550,SSE,sse_etf_fundlist,2026-02-10
516560,SSE,sse_etf_fundlist,2026-02-10
516570,SSE,sse_etf_fundlist,2026-02-10
516580,SSE,sse_etf_fundlist,2026-02-10
516590,SSE,sse_etf_fundlist,2026-02-10
516600,SSE,sse_etf_fundlist,2026-02-10
516610,SSE,sse_etf_fundlist,2026-02-10
516620,SSE,sse_etf_fundlist,2026-02-10
516630,SSE,sse_etf_fundlist,2026-02-10
516640,SSE,sse_etf_fundlist,2026-02-10
516650,SSE,sse_etf_fundlist,2026-02-10
516660,SSE,sse_etf_fundlist,2026-02-10
516670,SSE,sse_etf_fundlist,2026-02-10
516700,SSE,sse_etf_fundlist,2026-02-10
516710,SSE,sse_etf_fundlist,2026-02-10
516720,SSE,sse_etf_fundlist,2026-02-10
516730,SSE,sse_etf_fundlist,2026-02-10
516750,SSE,sse_etf_fundlist,2026-02-10
516760,SSE,sse_etf_fundlist,2026-02-10
516770,SSE,sse_etf_fundlist,2026-02-10
516780,SSE,sse_etf_fundlist,2026-02-10
516790,SSE,sse_etf_fundlist,2026-02-10
516800,SSE,sse_etf_fundlist,2026-02-10
516810,SSE,sse_etf_fundlist,2026-02-10
516820,SSE,sse_etf_fundlist,2026-02-10
516830,SSE,sse_etf_fundlist,2026-02-10
516850,SSE,sse_etf_fundlist,2026-02-10
516860,SSE,sse_etf_fundlist,2026-02-10
516880,SSE,sse_etf_fundlist,2026-02-10
516890,SSE,sse_etf_fundlist,2026-02-10
516900,SSE,sse_etf_fundlist,2026-02-10
516910,SSE,sse_etf_fundlist,2026-02-10
516920,SSE,sse_etf_fundlist,2026-02-10
516930,SSE,sse_etf_fundlist,2026-02-10
516950,SSE,sse_etf_fundlist,2026-02-10
516960,SSE,sse_etf_fundlist,2026-02-10
516970,SSE,sse_etf_fundlist,2026-02-10
516980,SSE,sse_etf_fundlist,2026-02-10
517000,SSE,sse_etf_fundlist,2026-02-10
517010,SSE,sse_etf_fundlist,2026-02-10
517030,SSE,sse_etf_fundlist,2026-02-10
517050,SSE,sse_etf_fundlist,2026-02-10
517080,SSE,sse_etf_fundlist,2026-02-10
517090,SSE,sse_etf_fundlist,2026-02-10
517100,SSE,sse_etf_fundlist,2026-02-10
517110,SSE,sse_etf_fundlist,2026-02-10
517120,SSE,sse_etf_fundlist,2026-02-10
517160,SSE,sse_etf_fundlist,2026-02-10
517170,SSE,sse_etf_fundlist,2026-02-10
517180,SSE,sse_etf_fundlist,2026-02-10
517200,SSE,sse_etf_fundlist,2026-02-10
517300,SSE,sse_etf_fundlist,2026-02-10
517330,SSE,sse_etf_fundlist,2026-02-10
517350,SSE,sse_etf_fundlist,2026-02-10
517360,SSE,sse_etf_fundlist,2026-02-10
517380,SSE,sse_etf_fundlist,2026-02-10
517390,SSE,sse_etf_fundlist,2026-02-10
517400,SSE,sse_etf_fundlist,2026-02-10
517520,SSE,sse_etf_fundlist,2026-02-10
517550,SSE,sse_etf_fundlist,2026-02-10
517660,SSE,sse_etf_fundlist,2026-02-10
517770,SSE,sse_etf_fundlist,2026-02-10
517800,SSE,sse_etf_fundlist,2026-02-10
517850,SSE,sse_etf_fundlist,2026-02-10
517880,SSE,sse_etf_fundlist,2026-02-10
517900,SSE,sse_etf_fundlist,2026-02-10
517950,SSE,sse_etf_fundlist,2026-02-10
517990,SSE,sse_etf_fundlist,2026-02-10
518600,SSE,sse_etf_fundlist,2026-02-10
518660,SSE,sse_etf_fundlist,2026-02-10
518680,SSE,sse_etf_fundlist,2026-02-10
518800,SSE,sse_etf_fundlist,2026-02-10
518850,SSE,sse_etf_fundlist,2026-02-10
518860,SSE,sse_etf_fundlist,2026-02-10
518880,SSE,sse_etf_fundlist,2026-02-10
518890,SSE,sse_etf_fundlist,2026-02-10
520500,SSE,sse_etf_fundlist,2026-02-10
520510,SSE,sse_etf_fundlist,2026-02-10
520520,SSE,sse_etf_fundlist,2026-02-10
520530,SSE,sse_etf_fundlist,2026-02-10
520550,SSE,sse_etf_fundlist,2026-02-10
520560,SSE,sse_etf_fundlist,2026-02-10
520570,SSE,sse_etf_fundlist,2026-02-10
520580,SSE,sse_etf_fundlist,2026-02-10
520590,SSE,sse_etf_fundlist,2026-02-10
520600,SSE,sse_etf_fundlist,2026-02-10
520610,SSE,sse_etf_fundlist,2026-02-10
520620,SSE,sse_etf_fundlist,2026-02-10
520630,SSE,sse_etf_fundlist,2026-02-10
520650,SSE,sse_etf_fundlist,2026-02-10
520660,SSE,sse_etf_fundlist,2026-02-10
520670,SSE,sse_etf_fundlist,2026-02-10
520690,SSE,sse_etf_fundlist,2026-02-10
520700,SSE,sse_etf_fundlist,2026-02-10
520720,SSE,sse_etf_fundlist,2026-02-10
520770,SSE,sse_etf_fundlist,2026-02-10
520780,SSE,sse_etf_fundlist,2026-02-10
520810,SSE,sse_etf_fundlist,2026-02-10
520820,SSE,sse_etf_fundlist,2026-02-10
520830,SSE,sse_etf_fundlist,2026-02-10
520840,SSE,sse_etf_fundlist,2026-02-10
520850,SSE,sse_etf_fundlist,2026-02-10
520860,SSE,sse_etf_fundlist,2026-02-10
520870,SSE,sse_etf_fundlist,2026-02-10
520880,SSE,sse_etf_fundlist,2026-02-10
520890,SSE,sse_etf_fundlist,2026-02-10
520900,SSE,sse_etf_fundlist,2026-02-10
520910,SSE,sse_etf_fundlist,2026-02-10
520920,SSE,sse_etf_fundlist,2026-02-10
520940,SSE,sse_etf_fundlist,2026-02-10
520950,SSE,sse_etf_fundlist,2026-02-10
520960,SSE,sse_etf_fundlist,2026-02-10
520970,SSE,sse_etf_fundlist,2026-02-10
520980,SSE,sse_etf_fundlist,2026-02-10
520990,SSE,sse_etf_fundlist,2026-02-10
530000,SSE,sse_etf_fundlist,2026-02-10
